,Event Number,Complaint Number,Shift,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,RPA,Latitude,Longitude,Mapped Location,call_date,call_time,geometry,index_right,zip,po_name
0,PD202000360764,,,45,,P,PROGRESS,1T,,3200.0,CLARKSVILLE PKE,622B,,231V,0.0,36.195,-86.833,POINT (-86.833 36.195),05/04/2020,03:12:44 PM,POINT (-86.833 36.195),27,37218,NASHVILLE
1,PD202000356987,,,92,,P,PROGRESS,15,,4000.0,CLARKSVILLE PKE,623A,,231X,0.0,36.211,-86.839,POINT (-86.839 36.211),05/03/2020,11:30:18 AM,POINT (-86.839 36.211),27,37218,NASHVILLE
2,PD202000358818,,,96,,,,12,,3900.0,CLARKSVILLE PKE,625C,,231X,0.0,36.209,-86.839,POINT (-86.839 36.209),05/03/2020,11:45:14 PM,POINT (-86.839 36.209),27,37218,NASHVILLE
3,PD202000356357,,,44,,P,PROGRESS,5,,2000.0,S HAMILTON RD,625C,,231V,0.0,36.193000000000005,-86.83200000000001,POINT (-86.832 36.193),05/03/2020,03:11:29 AM,POINT (-86.83200000000001 36.193),27,37218,NASHVILLE
4,PD202000174919,,,43,,P,PROGRESS,4,,2700.0,TUCKER RD,622C,,231V,0.0,36.205999999999996,-86.822,POINT (-86.822 36.206),03/03/2020,12:15:41 AM,POINT (-86.822 36.206),27,37218,NASHVILLE
5,PD202000361474,,,43,,P,PROGRESS,15,,3900.0,CLARKSVILLE PKE,622B,,231X,0.0,36.209,-86.839,POINT (-86.839 36.209),05/04/2020,07:28:26 PM,POINT (-86.839 36.209),27,37218,NASHVILLE
6,PD202000177991,,,50,,P,PROGRESS,4,,2000.0,S HAMILTON RD,625B,,231V,0.0,36.193000000000005,-86.83200000000001,POINT (-86.832 36.193),03/03/2020,11:58:00 PM,POINT (-86.83200000000001 36.193),27,37218,NASHVILLE
7,PD202000356897,,,43,,PM,,11,,3200.0,CLARKSVILLE PKE,627A,,231V,0.0,36.194,-86.83200000000001,POINT (-86.832 36.194),05/03/2020,10:32:38 AM,POINT (-86.83200000000001 36.194),27,37218,NASHVILLE
8,PD202000356163,,,44,,P,PROGRESS,10,,2000.0,S HAMILTON RD,620C,,231V,0.0,36.193000000000005,-86.83200000000001,POINT (-86.832 36.193),05/03/2020,01:14:12 AM,POINT (-86.83200000000001 36.193),27,37218,NASHVILLE
9,PD202000176922,,,35,,P,PROGRESS,11,,2700.0,TUCKER RD,,,231V,0.0,36.205999999999996,-86.822,POINT (-86.822 36.206),03/03/2020,05:38:39 PM,POINT (-86.822 36.206),27,37218,NASHVILLE
10,PD202000361324,,,88,,P,PROGRESS,11,,4300.0,ASHLAND CITY HWY,,,237Y,0.0,36.208,-86.86,POINT (-86.86 36.208),05/04/2020,06:23:45 PM,POINT (-86.86 36.208),27,37218,NASHVILLE
11,PD202000175884,,,96,,,,12,,3900.0,CLARKSVILLE PKE,627A,,231X,0.0,36.208,-86.84,POINT (-86.84 36.208),03/03/2020,08:57:23 AM,POINT (-86.84 36.208),27,37218,NASHVILLE
12,PD202000358927,,,43,,P,PROGRESS,4C,,2400.0,BUENA VISTA PKE,627C,,231V,0.0,36.2,-86.825,POINT (-86.825 36.2),05/04/2020,01:10:57 AM,POINT (-86.825 36.2),27,37218,NASHVILLE
13,PD202000175897,,,96,,,,12,,4200.0,CLARKSVILLE PKE,627A,,237Z,0.0,36.219,-86.837,POINT (-86.837 36.219),03/03/2020,09:04:26 AM,POINT (-86.837 36.219),27,37218,NASHVILLE
14,PD202000359124,,,96,,,,12,,2700.0,TUCKER RD,623C,,231W,0.0,36.205,-86.821,POINT (-86.821 36.205),05/04/2020,03:37:57 AM,POINT (-86.821 36.205),27,37218,NASHVILLE
15,PD202000361262,,,43,,P,PROGRESS,4,,2700.0,TUCKER RD,8F76,,231V,0.0,36.205999999999996,-86.822,POINT (-86.822 36.206),05/04/2020,06:01:41 PM,POINT (-86.822 36.206),27,37218,NASHVILLE
16,PD202000360390,,,44,,P,PROGRESS,5,,3200.0,CLARKSVILLE PKE,615A,,231V,0.0,36.194,-86.833,POINT (-86.833 36.194),05/04/2020,12:51:31 PM,POINT (-86.833 36.194),27,37218,NASHVILLE
17,PD202000175624,,,3,,,,4,,2700.0,TUCKER RD,4232,,231V,0.0,36.205999999999996,-86.822,POINT (-86.822 36.206),03/03/2020,06:56:13 AM,POINT (-86.822 36.206),27,37218,NASHVILLE
18,PD202000177762,,,43,,P,PROGRESS,4,,2400.0,BUENA VISTA PKE,623B,,231V,0.0,36.2,-86.825,POINT (-86.825 36.2),03/03/2020,10:35:38 PM,POINT (-86.825 36.2),27,37218,NASHVILLE
19,PD202000174902,20200150858.0,,43,,PM,,10,,4200.0,CLARKSVILLE PKE,610C,,237Z,0.0,36.219,-86.837,POINT (-86.837 36.219),03/03/2020,12:02:45 AM,POINT (-86.837 36.219),27,37218,NASHVILLE
20,PD202000359033,,,96,,,,12,,2100.0,BUENA VISTA PKE,623C,,231V,0.0,36.196,-86.83,POINT (-86.83 36.196),05/04/2020,02:39:57 AM,POINT (-86.83 36.196),27,37218,NASHVILLE
21,PD202000361229,,,96,,,,12,,3100.0,CLARKSVILLE PKE,5263,,231V,0.0,36.193000000000005,-86.83,POINT (-86.83 36.193),05/04/2020,05:51:17 PM,POINT (-86.83 36.193),27,37218,NASHVILLE
